first_name,last_name,username,title,department,job_role,email,phone#,employeeID,password
Sergent,Scutchings,sscutchings0,Mr,IT,IT Admin,sscutchings0@research.local,559-173-7664,467,$Jc!@LA87
Beck,Biasio,bbiasio1,Mrs,Business Development,Manager,bbiasio1@research.local,253-557-5206,101,$JoSh$1213
Emeline,D'Agostini,edagostini2,Mrs,Business Development,Assistant,edagostini2@research.local,997-176-0198,701,"$KVL,@psk@KAHJ@"
Lira,Moar,lmoar3,Mrs,IT,IT Admin,lmoar3@research.local,901-269-8039,298,$KaTiTa$8888
Dorris,Warbrick,dwarbrick4,Mr,Product Management,Manager,dwarbrick4@research.local,739-420-9997,868,$L0v3r2B33$
Dotty,Tremmil,dtremmil5,Ms,Sales,Lead,dtremmil5@research.local,905-273-2992,194,c@OCl%pN8*
Valene,Landor,vlandor6,Mrs,Business Development,Analysis,vlandor6@research.local,836-379-5439,966,$LanaKada$
Gerick,Schole,gschole7,Mr,Marketing,Manager,gschole7@research.local,560-818-6179,839,$LilTink$
Caleb,Guiett,cguiett8,Ms,Human Resources,Admin,cguiett8@research.local,215-503-0974,458,$LimeZXR!
Leonelle,Larter,llarter9,Mrs,Research and Development,Manager,llarter9@research.local,975-556-1175,581,$LoveBugs$
Alonzo,Carreyette,acarreyettea,Ms,Human Resources,Manager,acarreyettea@research.local,200-547-3387,224,B8l&yaD6%
Dominic,Naerup,dnaerupb,Mrs,Product Management,Associate,dnaerupb@research.local,889-254-6830,143,$8AgOsTO1936$
Crystal,Durman,cdurmanc,Mrs,IT,Helpdesk,cdurmanc@research.local,912-703-7312,969,$2doughNUTS$
Filberte,Myderscough,fmyderscoughd,Mr,Human Resources,Admin,fmyderscoughd@research.local,237-663-5037,623,$1Wsnt^Sure7*
Darell,Micka,dmickae,Mrs,Product Management,Associate,dmickae@research.local,605-626-9206,978,$1NotSafe1$
Dotty,Goburn,dgoburnf,Mrs,Product Management,Associate,dgoburnf@research.local,420-318-4087,990,$1MyluvlyMydear$
Angela,Juhruke,ajuhrukeg,Mrs,Research and Development,Analysis,ajuhrukeg@research.local,723-761-2014,937,$1HouseWife1$
