first_name,last_name,username,title,department,job_role,email,phone#,employeeID,password
Lone,Starr,lstarr,CPT,Hero,Captain,,559-173-7664,467,t$TeWvkT8!
Princess,Vespa,pvspa,Prncss,Hero,Princess,,253-557-5206,101,QtyPIhD2&
Barf,,barf,Mr,Hero,Sidekick,,997-176-0198,701,H4lfsN0*
Dot,Matrix,dmatrix,Mrs,Hero,Handmaiden,,901-269-8039,298,x@EdS1&
Dark,Helmet,dhelmet,LD,Spaceballs,Lord,,739-420-9997,868,rTT%mNuV1&
Colonel ,Sandurz�,csandurz,CDR,Spaceballs,Commander,,905-273-2992,194,c@OCl%pN8*
President,Skroob,pskroob,Pres,Spaceballs,President,,836-379-5439,966,LZk1FhX6#
Commanderette, Zircon�,czircon,Mrs,Spaceballs,Commanderette,,560-818-6179,839,qRkpN3%
Snotty,,snotty,Mr,Spaceballs,Teleport Tech,,215-503-0974,458,JuAe#dS4%
Radar,Technician,rtechnician,Mr,Spaceballs,Radar Technician,,975-556-1175,581,bPt@rD4%
Philip,Asshole,passhole,Mr,Spaceballs,Gunner,,200-547-3387,224,B8l&yaD6%
Major,Asshole,masshole,MAJ,Spaceballs,Deputy Commander,,889-254-6830,143,yae9uV2%
Yogurt,,yogurt,Master,Support,Master of the Schwartz,,912-703-7312,969,K!7oaE1$
King,Roland,kroland,King,Support,King of Druidia,,237-663-5037,623,03Y$oU0$
Pizza,Hutt,phutt,Mr,Support,Space Gangster,,605-626-9206,978,lhYxElG7&
Vinnie,,vinnie,Mr,Support,Right Hand Man,,420-318-4087,990,!yBsoG7&
Prince,Valium,pvalium,PR,Support,Prince,,723-761-2014,937,TmiwfX8*
